ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
C1orf123,-0.08216290026824602,9.51667430691554,-1.5128405699195067,0.1309336939774964,0.9999970699667557,-4.3797986844003605
TBC1D12,0.08745381927077744,6.553330127967198,1.5125511242608427,0.13100723798665054,0.9999970699667557,-4.380086183742313
PDE9A,-0.13131380513342172,8.246288590037478,-1.5118121447601496,0.1311951478512512,0.9999970699667557,-4.380819947577851
CAMTA2,0.15323249630793168,6.983379458703438,1.508784078551993,0.13196732311619866,0.9999970699667557,-4.383822941205933
GOSR2,-0.14250448732405552,8.551938421671304,-1.508168163697473,0.1321248165276177,0.9999970699667557,-4.384433028081574
TGM2,-0.13111779748391683,8.754107947850036,-1.5080120925526708,0.1321647481114971,0.9999970699667557,-4.384587583341333
SON,0.08877857248965881,8.751305705323777,1.507718832195158,0.1322398056045021,0.9999970699667557,-4.384877952571536
EPHA2,-0.09801917789129355,7.297062148321874,-1.5074860962171077,0.1322993959641192,0.9999970699667557,-4.385108354387063
PRSS21,0.20793985611553634,6.459578018860029,1.5067527644702001,0.13248729667097256,0.9999970699667557,-4.385834101521052
CDK3,0.10770155555293215,7.260230478663917,1.5062003064654337,0.13262898917182306,0.9999970699667557,-4.386380615152892
RPS23,0.12974824869818669,10.920970855657181,1.5058403661294375,0.13272136871316323,0.9999970699667557,-4.386736576022943
TSSC1,-0.0820745485697163,8.94293589548141,-1.5054215859859967,0.13282891251189283,0.9999970699667557,-4.387150620360073
GPR45,-0.13483836836249719,5.017235829751277,-1.5051645536645295,0.132894952565098,0.9999970699667557,-4.387404689650134
PAK7,0.15978438100885484,6.427007096931905,1.5049100010121503,0.13296038063378077,0.9999970699667557,-4.387656265601787
NTF3,0.16146487028887258,6.756955820609967,1.5047463148975326,0.13300246634358642,0.9999970699667557,-4.387818015381913
CD19,0.17578579618063994,7.624559270384409,1.504573737604788,0.13304684928426833,0.9999970699667557,-4.387988532331686
ABCA3,0.1395540868533276,8.106003365776587,1.5044880548225434,0.13306888921138335,0.9999970699667557,-4.38807318499555
SLC28A3,0.1551591084260897,6.876472544421607,1.5040230895030804,0.13318854028593904,0.9999970699667557,-4.388532477207499
LRP1B,-0.16836387347007076,5.790545029605181,-1.5039835723097055,0.13319871322633453,0.9999970699667557,-4.388571505777328
GPX3,-0.1542517997895878,8.948494733672403,-1.5038977279224481,0.13322081428890176,0.9999970699667557,-4.388656285220898
EPB41L1,0.14405304804202146,6.607427325767251,1.5037077034748427,0.1332697471485486,0.9999970699667557,-4.388843935307729
ADRA1D,0.1197977929317986,6.554120160299687,1.5031570567774473,0.13341162199587558,0.9999970699667557,-4.389387569318673
SOHLH2,-0.14654907640535875,6.41392659825101,-1.5029585749401577,0.13346278983454946,0.9999970699667557,-4.389583475169977
BTD,-0.07317163242229885,7.847157113639915,-1.5025205268610298,0.1335757708077145,0.9999970699667557,-4.390015747587472
UBAC1,-0.10831488125845468,9.537849369937046,-1.5020741521025838,0.1336909757249462,0.9999970699667557,-4.390456108792439
SIGLEC5,-0.1416907473421567,6.906281925126679,-1.5017560660718514,0.13377311762175698,0.9999970699667557,-4.390769830667495
ANXA4,0.11897594805840761,7.598954875007599,1.5015351399952932,0.13383019216682504,0.9999970699667557,-4.390987686985739
RHD,0.1563952435989613,5.723500622409207,1.501093139867201,0.13394443619158675,0.9999970699667557,-4.3914234504579195
HIST1H2BI,0.12257976481245425,5.455805352636452,1.5010093129235997,0.13396611152164267,0.9999970699667557,-4.391506080293294
HPS4,-0.0876408708075278,8.075953627745827,-1.5000168091155592,0.13422295243652937,0.9999970699667557,-4.392484063784375
VPS35,-0.06810158826890067,9.984572792397858,-1.4992857402570297,0.13441238314251652,0.9999970699667557,-4.393204028214971
UCN,-0.1347009985088201,6.376181534774376,-1.4992188257372945,0.134429732030549,0.9999970699667557,-4.393269909021649
RPGRIP1L,-0.10914691851651082,6.537277083579123,-1.4990198922752942,0.1344813196463519,0.9999970699667557,-4.393465752144608
C2CD2,-0.11765008368039354,9.010896674615074,-1.4982604257664969,0.13467840640225603,0.9999970699667557,-4.394213184483642
RUNX2,-0.11173488411462351,7.757975893105706,-1.498020447077602,0.1347407290486422,0.9999970699667557,-4.394449282740897
CEBPG,0.10571680487641011,8.690846654065865,1.4979603942232844,0.13475632831697934,0.9999970699667557,-4.394508358699266
FAM3A,-0.10642840373642493,9.683423676066017,-1.4967475007546585,0.13507168805894504,0.9999970699667557,-4.395701020644829
ABCC4,0.12162732086970518,7.319212434920357,1.496741952179418,0.13507313203563115,0.9999970699667557,-4.395706474473721
ATP1B4,-0.08983966459064341,4.869586288958551,-1.4964388118686236,0.13515204029761754,0.9999970699667557,-4.396004408050734
MYLPF,0.1714004666252995,5.658085747203212,1.4956071269860207,0.13536871362360836,0.9999970699667557,-4.396821501618408
AGAP1,0.09361756440381264,8.722765573875604,1.4950843182961024,0.13550505519521783,0.9999970699667557,-4.397334908181279
